"Name","Stimmen","Korrektur gemäss Modell","Stimmen korrigiert","Rang","Rang gemäss Modell"
"Hofer Salome","4082","-46.2791115662005","4035.7208884338","1","1"
"Wyss Sarah","4036","-7.61301402387721","4028.38698597612","2","2"
"Gölgeli Edibe","3959","-53.8921255900775","3905.10787440992","3","3"
"Wenk Kerstin","3601","-15.4263705220669","3585.57362947793","4","4"
"Kabakci Mahir","3486","53.8921255900775","3539.89212559008","6","5"
"Kölliker Sebastian","3419","61.7054820882672","3480.70548208827","7","6"
"Brandenburger Jessica","3525","-84.7448666342111","3440.25513336579","5","7"
"Baumgartner Beda","3381","15.4263705220667","3396.42637052207","8","8"
"Mattmüller Georg","3135","69.3184961121442","3204.31849611214","10","9"
"Seggiani Michela","3233","-30.8527410441336","3202.14725895587","9","10"
"Balmer Ivo","2943","7.61301402387699","2950.61301402388","12","11"
"Hui Hannes","2842","46.2791115662003","2888.2791115662","14","12"
"Bessenich Salome","2946","-92.5582231324008","2853.4417768676","11","13"
"Keller Christine","2861","-38.4657550680108","2822.53424493199","13","14"
"Dürr Miriam","2837","-69.3184961121444","2767.68150388786","15","15"
"Colomb Marcel","2597","30.8527410441336","2627.85274104413","16","16"
"Stracuk El Shemerly Klara","2579","-23.0393845459439","2555.96061545406","19","17"
"Fink von Heeren Marie-Luise","2591","-61.7054820882672","2529.29451791173","17","18"
"Christen Markus","2480","23.0393845459439","2503.03938454594","21","19"
"Gmür Daniel","2461","38.4657550680106","2499.46575506801","22","20"
"Maurer Reto","2417","77.1318526103339","2494.13185261033","24","21"
"Baumgartner Julia","2590","-100.171237156278","2489.82876284372","18","22"
"Bruderer Sophie","2565","-77.1318526103341","2487.86814738967","20","23"
"Russano Nino","2365","84.7448666342111","2449.74486663421","25","24"
"Zingarelli Jacqueline","2442","0","2442","23","25"
"Schuler Philipp","2339","92.5582231324008","2431.5582231324","26","26"
"Wiss Lukas","2252","100.171237156278","2352.17123715628","27","27"
